Product,Product_Brand,Item_Category,Subcategory_1,Subcategory_2,Item_Rating,Date,Selling_Price
P-2610,B-659,bags wallets belts,bags,hand bags,4.3,2/3/2017,291.0
P-2453,B-3078,clothing,women s clothing,western wear,3.1,7/1/2015,897.0
P-6802,B-1810,home decor festive needs,showpieces,ethnic,3.5,1/12/2019,792.0
P-4452,B-3078,beauty and personal care,eye care,h2o plus eye care,4.0,12/12/2014,837.0
P-8454,B-3078,clothing,men s clothing,t shirts,4.3,12/12/2013,470.0
P-5597,B-1487,home decor festive needs,table decor handicrafts,showpieces,5.0,9/4/2020,746.0
P-8398,B-3078,footwear,women s footwear,casual shoes,4.1,4/12/2017,1798.0
P-10744,B-2830,kitchen dining,cookware,pots pans,3.1,1/12/2013,955.0
P-4042,B-1045,home decor festive needs,wall decor clocks,paintings,2.4,18/3/2019,21770.0
P-360,B-88,automotive,accessories spare parts,car interior exterior,2.3,10/5/2018,199.0
P-5086,B-1347,computers,computer components,processors,4.3,1/12/2019,2470.0
P-1786,B-2679,clothing,women s clothing,western wear,5.0,30/12/2012,497.0
P-7089,B-1880,miss wow slim fit women s blue jeans,unknown,unknown,1.5,10/5/2017,489.0
P-8775,B-2261,food nutrition,health nutrition,protein supplements,3.6,6/6/2015,939.0
P-9951,B-2605,home decor festive needs,showpieces,shoppingtara showpieces,4.6,1/12/2018,416.0
P-5742,B-1517,jewellery,rings,unknown,2.8,1/1/2013,30918.0
P-10525,B-2755,srpc baoer starwalker executive rollerball pen g,unknown,unknown,3.2,5/4/2019,798.0
P-2805,B-724,home decor festive needs,candles fragrances,home fragrances,1.5,15/6/2014,290.0
P-10835,B-2870,computers,laptop accessories,usb gadgets,1.0,29/12/2018,641.0
P-8605,B-3078,kitchen dining,coffee mugs,printland coffee mugs,3.8,1/12/2017,298.0
P-11626,B-3119,kitchen dining,coffee mugs,value bay coffee mugs,1.5,19/3/2015,292.0
P-6539,B-1721,clothing,kids clothing,girls wear,1.7,2/4/2017,1993.0
P-5565,B-1478,jewellery,necklaces chains,necklaces,3.0,1/12/2017,300.0
P-2838,B-734,home furnishing,kitchen dining linen,table runners,4.0,1/1/2014,299.0
P-466,B-113,clothing,women s clothing,western wear,2.3,10/5/2017,610.0
P-7204,B-3078,clothing,women s clothing,western wear,3.7,1/12/2012,904.0
P-3786,B-977,home furnishing,kitchen dining linen,table runners,1.2,1/1/2020,393.0
P-8446,B-2223,clothing,women s clothing,western wear,1.6,19/3/2014,396.0
P-10051,B-3078,clothing,women s clothing,western wear,3.7,7/1/2019,596.0
P-11810,B-3175,jewellery,necklaces chains,necklaces,1.4,1/12/2013,253.0
P-10633,B-3078,clothing,men s clothing,winter seasonal wear,1.2,29/12/2012,664.0
P-7551,B-3078,clothing,men s clothing,t shirts,2.0,13/12/2019,341.0
P-7885,B-2372,clothing,women s clothing,western wear,2.1,30/12/2013,496.0
P-4381,B-2201,clothing,women s clothing,lingerie sleep swimwear,2.5,7/1/2015,441.0
P-11753,B-3159,automotive,accessories spare parts,car electronics accessories,3.9,1/12/2014,405.0
P-6331,B-1650,computers,network components,routers,3.4,1/12/2016,946.0
P-4997,B-1315,jewellery,necklaces chains,necklaces,1.8,1/12/2019,352.0
P-8844,B-2679,clothing,men s clothing,shirts,3.6,12/12/2016,691.0
P-6616,B-1737,bags wallets belts,luggage travel,lowe alpine luggage travel,4.0,23/6/2019,1490.0
P-4021,B-3078,clothing,women s clothing,western wear,4.6,7/1/2017,497.0
P-2073,B-459,bags wallets belts,bags,hand bags,4.3,24/2/2018,1390.0
P-9092,B-3078,clothing,women s clothing,ethnic wear,2.5,29/12/2015,1299.0
P-5128,B-3078,clothing,women s clothing,western wear,3.3,1/12/2013,791.0
P-7221,B-1937,jewellery,bangles bracelets armlets,bangles,4.5,30/12/2016,381.0
P-2489,B-610,home furnishing,kitchen dining linen,kitchen linen sets,2.6,18/3/2018,291.0
P-8952,B-2307,jewellery,rings,unknown,4.1,1/1/2020,20961.0
P-5643,B-3078,clothing,women s clothing,ethnic wear,2.0,1/12/2013,646.0
P-8915,B-2307,jewellery,rings,unknown,4.2,1/1/2015,28841.0
P-5369,B-1431,jewellery,rings,unknown,1.3,1/1/2018,36339.0
P-5471,B-3078,clothing,men s clothing,shirts,3.6,6/12/2016,529.0
P-8912,B-2307,jewellery,rings,unknown,1.3,1/1/2017,25901.0
P-2327,B-3078,beauty and personal care,fragrances,deodorants,1.0,1/12/2012,507.0
P-3304,B-3078,pens stationery,school supplies,geometry pen pencil boxes,1.5,1/12/2013,452.0
P-12128,B-3235,jewellery,accessories,brooches,2.4,28/2/2014,269.0
P-6165,B-678,clothing,women s clothing,lingerie sleep swimwear,1.0,7/1/2015,180.0
P-188,B-3078,clothing,women s clothing,western wear,3.3,30/12/2015,447.0
P-10422,B-2741,automotive,accessories spare parts,car interior exterior,3.4,21/4/2014,350.0
P-1709,B-3078,clothing,women s clothing,western wear,5.0,7/1/2014,889.0
P-2917,B-748,toys school supplies,action figures,disney action figures,2.0,28/3/2017,298.0
P-7520,B-3078,beauty and personal care,fragrances,deodorants,1.3,1/12/2015,398.0
P-8282,B-1936,furniture,pet furniture,unknown,1.0,29/12/2018,1147.0
P-4507,B-1193,jewellery,necklaces chains,necklaces,3.9,1/12/2014,445.0
P-5137,B-3078,toys school supplies,school supplies,geometry pencil boxes,1.2,1/12/2017,148.0
P-3995,B-1027,home decor festive needs,table decor handicrafts,showpieces,4.7,4/1/2018,2346.0
P-8981,B-2307,jewellery,rings,unknown,2.4,1/1/2016,33068.0
P-2203,B-3078,clothing,women s clothing,western wear,4.0,6/1/2016,761.0
P-6274,B-3078,clothing,women s clothing,western wear,4.7,30/12/2017,394.0
P-1755,B-372,automotive,car bike accessories,car bike lighting,3.9,2/6/2016,234.0
P-1046,B-144,jewellery,rings,amantran jewels om shaped silver zircon sterling,1.0,27/5/2018,2497.0
P-11595,B-3106,automotive,accessories spare parts,car interior exterior,3.5,24/5/2014,592.0
P-2494,B-610,home furnishing,kitchen dining linen,kitchen linen sets,3.4,18/3/2016,297.0
P-12022,B-3209,clothing,men s clothing,winter seasonal wear,2.6,13/6/2017,745.0
P-3273,B-850,mobiles accessories,tablet accessories,cases covers,4.7,1/1/2013,1491.0
P-1004,B-133,automotive,accessories spare parts,car interior exterior,4.2,1/12/2017,1374.0
P-1612,B-323,clothing,kids clothing,girls wear,4.6,11/3/2017,1415.0
P-3702,B-947,jewellery,necklaces chains,necklaces,2.7,1/12/2019,289.0
P-405,B-93,home decor festive needs,table decor handicrafts,showpieces,3.9,1/1/2017,595.0
P-4107,B-1059,beauty and personal care,hair care,hair colors,1.0,22/3/2016,1330.0
P-12375,B-3295,home decor festive needs,showpieces,you2deal showpieces,1.3,12/12/2017,445.0
P-9051,B-3078,kitchen dining,coffee mugs,rajesh digital coffee mugs,4.0,1/12/2014,241.0
P-4667,B-1237,mobiles accessories,tablet accessories,cases covers,1.3,1/1/2013,993.0
P-11550,B-2281,clothing,women s clothing,lingerie sleep swimwear,2.9,7/1/2020,290.0
P-10177,B-2699,automotive,accessories spare parts,car electronics accessories,2.7,1/12/2015,392.0
P-11456,B-3056,clothing,kids clothing,infants wear,3.1,18/3/2016,538.0
P-7796,B-3078,clothing,men s clothing,t shirts,3.1,13/12/2016,299.0
P-6434,B-1674,jewellery,bangles bracelets armlets,bracelets,1.1,20/12/2019,599.0
P-4243,B-1097,clothing,kids clothing,boys wear,1.1,12/5/2017,268.0
P-4955,B-3078,clothing,women s clothing,ethnic wear,3.7,7/1/2017,992.0
P-1841,B-405,jewellery,rings,unknown,1.3,1/1/2020,25001.0
P-8519,B-2201,clothing,women s clothing,lingerie sleep swimwear,5.0,7/1/2013,802.0
P-6388,B-2679,clothing,men s clothing,shirts,4.1,6/12/2012,460.0
P-9018,B-2307,jewellery,rings,unknown,2.8,1/1/2014,19558.0
P-1651,B-340,computers,network components,routers,4.0,1/12/2019,2394.0
P-10218,B-2709,soie fashion women s sports bra,unknown,unknown,1.4,10/5/2014,790.0
P-6253,B-2355,furniture,pet furniture,unknown,3.1,29/12/2012,1899.0
P-9346,B-3078,kitchen dining,coffee mugs,rockmantra coffee mugs,4.6,1/12/2019,191.0
P-2794,B-720,home decor festive needs,wall decor clocks,wall decals stickers,2.2,29/12/2015,994.0
P-2951,B-3078,sunglasses,unknown,unknown,4.7,6/1/2020,391.0
P-5715,B-1517,jewellery,rings,unknown,1.4,6/1/2019,31468.0
P-7818,B-2080,cameras accessories,camera accessories,lens hoods,2.6,29/12/2019,231.0
P-10409,B-2741,automotive,accessories spare parts,bike essentials,1.8,18/3/2015,214.0
P-6486,B-1699,clothing,women s clothing,lingerie sleep swimwear,2.3,20/6/2016,191.0
P-12046,B-3215,baby care,baby kids gifts,stickers,4.0,1/12/2013,582.0
P-10640,B-3078,footwear,women s footwear,casual shoes,3.2,1/12/2015,493.0
P-2893,B-2679,clothing,women s clothing,western wear,4.8,30/12/2018,489.0
P-6700,B-3078,clothing,women s clothing,western wear,1.4,6/1/2019,589.0
P-10823,B-2866,home decor festive needs,wall decor clocks,paintings,4.5,31/12/2014,1791.0
P-5909,B-1556,jewellery,rings,unknown,2.1,6/1/2017,1732.0
P-612,B-133,automotive,accessories spare parts,car interior exterior,3.9,1/12/2013,1348.0
P-4404,B-1148,jewellery,necklaces chains,necklaces,3.7,1/12/2017,441.0
P-5783,B-1517,jewellery,rings,unknown,1.4,1/1/2015,28100.0
P-3911,B-3078,ebooks,academic texts,law,1.7,7/1/2019,1563.0
P-15,B-1,automotive,accessories spare parts,car interior exterior,1.8,1/12/2015,1486.0
P-4435,B-1168,jewellery,rings,unknown,1.1,1/1/2019,26996.0
P-12392,B-3301,jewellery,necklaces chains,necklaces,1.1,1/12/2014,139.0
P-2513,B-616,clothing,men s clothing,shirts,1.1,11/6/2016,2285.0
P-3807,B-979,footwear,kids infant footwear,for boys,4.6,10/5/2020,240.0
P-7266,B-3078,beauty and personal care,combos and kits,mxofere combos and kits,4.8,12/12/2016,280.0
P-1512,B-278,mobiles accessories,tablet accessories,cases covers,4.3,1/1/2019,1003.0
P-7033,B-3078,footwear,women s footwear,flats,4.3,1/1/2019,1790.0
P-8900,B-2303,automotive,accessories spare parts,car bike care,1.3,25/2/2018,3349.0
P-816,B-133,automotive,accessories spare parts,car interior exterior,4.1,1/12/2015,1594.0
